indicator_code,indicator_name,last_published,days_since,rows,size_status
HWF_0017,Environmental and Occupational Health and Hygiene Professionals  (number),2026-01-23,241,517,ok
AIR_35,Joint effects of air pollution attributable deaths,2026-06-15,98,3384,ok
AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",2026-06-15,98,3456,ok
AIR_52,"Household air pollution attributable death rate (per 100 000 population, age-standardized)",2026-06-15,98,3384,ok
HIV_0000000009,Reported number of people receiving antiretroviral therapy,2026-07-31,52,3848,ok
AIR_90,"Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized)",2026-06-15,98,3456,ok
HWF_0021,Physiotherapists (number),2026-01-23,241,2041,ok
HWF_0016,Pharmaceutical Technicians and Assistants  (number),2026-01-23,241,610,ok
HWF_0022,Physiotherapy Technicians and Assistants  (number),2026-01-23,241,322,ok
AIR_62,"Household and ambient air pollution attributable DALYs (per 100 000 capita, age-standardized)",2026-06-15,98,3572,ok
M_Est_cig_curr,Estimate of current cigarette smoking prevalence (%),2026-01-15,249,5511,ok
HWF_0024,Community Health Workers (number),2026-01-23,241,495,ok
HWF_0013,Dental Prosthetic Technicians (number),2026-01-23,241,460,ok
HWF_0019,Medical and Pathology Laboratory scientists  (number),2026-01-23,241,481,ok
HWF_0020,Medical and Pathology Laboratory Technicians  (number),2026-01-23,241,662,ok
HWF_0015,Pharmacists  (number),2026-01-23,241,3458,ok
AIR_15,Household air pollution attributable DALYs,2026-06-15,98,3572,ok
AIR_7,Ambient air pollution attributable DALYs,2026-06-15,98,3456,ok
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),2025-10-29,327,18540,ok
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),2026-08-04,48,44424,ok
CM_03,Number of neonatal deaths,2026-08-05,47,11914,ok
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),2025-11-11,314,5177,ok
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%) (WUENIC),2026-07-14,69,5337,ok
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),2026-08-05,47,64510,ok
MDG_0000000029,Prevalence of HIV among adults aged 15 to 49 (%),2026-07-31,52,3892,ok
CHILDMORT5TO14,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),2026-08-05,47,26145,ok
CM_01,Number of under-five deaths,2026-08-05,47,61233,ok
CM_02,Number of infant deaths,2026-08-04,48,43622,ok
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2025-10-29,327,18540,ok
MDG_0000000003,Adolescent birth rate (per 1000 women),2026-04-02,172,7703,ok
M_Est_tob_curr,Estimate of current tobacco use prevalence (%),2026-01-15,249,5511,ok
NTD_LEPR5,Number of new G2D leprosy cases,2026-09-14,7,2716,ok
NTD_ONCHEMO,Estimated number of individuals in the country requiring preventive chemotherapy for onchocerciasis,2025-10-07,349,456,ok
MDG_0000000017,Deaths due to tuberculosis among HIV-negative people (per 100 000 population),2025-11-11,314,4677,ok
MDG_0000000025,Births attended by skilled health personnel (%),2026-04-21,153,2749,ok
NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2026-08-14,38,73422,ok
NTD_LEPR3,Leprosy - Number of cases registered for treatment,2026-09-14,7,2716,ok
